Date,Symbol,% from 30w ema
2026-09-09 15:29,NIFTYMICROCAP250,9.3419
2026-09-09 15:29,NIFTYINDDEFENCE,8.5367
2026-09-09 15:29,NIFTYSMALLCAP50,8.4259
2026-09-09 15:29,CNXPHARMA,7.3818
2026-09-09 15:29,CNXSMALLCAP,7.1429
2026-09-09 15:29,NIFTYMETAL,6.6702
2026-09-09 15:29,NIFTYSMALLCAP250,5.9083
2026-09-09 15:29,NIFTYHEALTHCARE,5.1821
2026-09-09 15:29,NIFTYMIDSMALLCAP400,3.3428
2026-09-09 15:29,NIFTYMIDCAP50,2.7041
2026-09-09 15:29,NIFTYCHEMICALS,2.5442
2026-09-09 15:29,NIFTYMIDSELECT,2.366
2026-09-09 15:29,CNXREALTY,2.2364
2026-09-09 15:29,NIFTYMIDCAP150,2.0272
2026-09-09 15:29,NIFTYMEDIA,1.3386
2026-09-09 15:29,NIFTYAUTO,1.3353
2026-09-09 15:29,CNXENERGY,0.1896
2026-09-09 15:29,NIFTYTOTALMKT,0.0354
2026-09-09 15:29,NIFTYLARGEMID250,0.007
2026-09-09 15:29,NIFTYHOUSING,0
2026-09-09 15:29,NIFTY500,-0.439
2026-09-09 15:29,NIFTYCOMMODITIES,-0.5308
2026-09-09 15:29,NIFTYPVTBANK,-0.6762
2026-09-09 15:29,BANKNIFTY,-1.0245
2026-09-09 15:29,NIFTYPSUBANK,-1.1166
2026-09-09 15:29,NIFTYCONSUMPTION,-1.1729
2026-09-09 15:29,NIFTY200,-1.2935
2026-09-09 15:29,CNXINFRA,-1.921
2026-09-09 15:29,NIFTY100,-2.1143
2026-09-09 15:29,NIFTYOILANDGAS,-2.2028
2026-09-09 15:29,NIFTY,-3.1135
2026-09-09 15:29,NIFTYFINSERVICE,-3.2523
2026-09-09 15:29,CNXIT,-5.5323
2026-09-09 15:29,NIFTYFMCG,-7.998
2026-09-09 15:29,INDIAVIX,-13.52
