Date,Symbol,Ltp,Vwap
2026-09-10 15:29,MTARTECH,7305,7295.93
2026-09-10 15:29,KOVAI,6292,6271.81
2026-09-10 15:29,FINEORG,5156,5155.95
2026-09-10 15:29,KENNAMET,5027.8999,4988.29
2026-09-10 15:29,INGERRAND,4604.7998,4600.04
2026-09-10 15:29,PRIVISCL,3495.6001,3479.86
2026-09-10 15:29,CARTRADE,3034.7,3032.59
2026-09-10 15:29,SEDEMAC,2915.7,2909.77
2026-09-10 15:29,CAPLIPOINT,2795.3999,2791.85
2026-09-10 15:29,SWANDEF,2662.8,2642.5
2026-09-10 15:29,NEOGEN,2388.8999,2350.65
2026-09-10 15:29,INOXINDIA,2295.8,2280.61
2026-09-10 15:29,WABAG,2211.8,2187.61
2026-09-10 15:29,CORONA,2200.8,2148.62
2026-09-10 15:29,POLYMED,1747.7,1747.46
2026-09-10 15:29,AETHER,1640.3,1628.05
2026-09-10 15:29,CHENNPETRO,1626.4,1613.91
2026-09-10 15:29,UNIVCABLES,1556.9,1547.32
2026-09-10 15:29,CONCORDBIO,1452.8,1450.8
2026-09-10 15:29,KPIL,1432,1421.85
2026-09-10 15:29,FINCABLES,1418.4,1390.17
2026-09-10 15:29,GMMPFAUDLR,1319.2,1306.81
2026-09-10 15:29,PVRINOX,1221.3,1201.96
2026-09-10 15:29,STAR,1217,1200.59
2026-09-10 15:29,HOMEFIRST,1209.4,1203.8
2026-09-10 15:29,KSHINTL,1174.3,1169.53
2026-09-10 15:29,TMB,923.65,923.35
2026-09-10 15:29,GRANULES,899.25,892.94
2026-09-10 15:29,VARROC,884.4,876.67
2026-09-10 15:29,CHALET,875.55,874.73
2026-09-10 15:29,RAYMOND,853.85,837.52
2026-09-10 15:29,SPLPETRO,828.15,826.96
2026-09-10 15:29,AARTIPHARM,825.75,823.12
2026-09-10 15:29,VMART,817.8,815.33
2026-09-10 15:29,RPTECH,806.45,790.82
2026-09-10 15:29,WELENT,797.95,793.12
2026-09-10 15:29,SIGMAADV,792.85,787.7
2026-09-10 15:29,NEPHROPLUS,747.25,741.98
2026-09-10 15:29,MAHSEAMLES,718.95,711.94
2026-09-10 15:29,GUJALKALI,718.75,716.7
2026-09-10 15:29,BLISSGVS,700.45,698.9
2026-09-10 15:29,SFL,697.95,689.86
2026-09-10 15:29,ELGIEQUIP,621.6,613.33
2026-09-10 15:29,HNDFDS,619.95,619.06
2026-09-10 15:29,ABDL,611.45,608.2
2026-09-10 15:29,PNGJL,611.05,608.52
2026-09-10 15:29,ANANTRAJ,608.85,608.81
2026-09-10 15:29,AJAXENGG,589.5,586.86
2026-09-10 15:29,POWERICA,575.85,567.57
2026-09-10 15:29,BLUEJET,575.3,574.5
2026-09-10 15:29,GNFC,570.75,569.71
2026-09-10 15:29,ZYDUSWELL,566.3,566.04
2026-09-10 15:29,AEROFLEX,564.2,559.47
2026-09-10 15:29,OMNI,563.35,557.8
2026-09-10 15:29,WESTLIFE,561.95,559.56
2026-09-10 15:29,LCL,561.25,554.78
2026-09-10 15:29,MAXESTATES,559.75,552.93
2026-09-10 15:29,THELEELA,554.15,548.51
2026-09-10 15:29,FIVESTAR,530.65,530.18
2026-09-10 15:29,SUPRAJIT,500.3,496.43
2026-09-10 15:29,SETL,445.9,445.23
2026-09-10 15:29,SSWL,373.6,369.58
2026-09-10 15:29,QUESS,355.1,353.99
2026-09-10 15:29,DIACABS,351.5,346.06
2026-09-10 15:29,EMMVEE,342.65,339.84
2026-09-10 15:29,KISSHT,333.9,331.14
2026-09-10 15:29,KTKBANK,332.55,332.53
2026-09-10 15:29,JINDALSAW,317.5,315.38
2026-09-10 15:29,VRLLOG,288.8,288.43
2026-09-10 15:29,MILKYMIST,278.83,273.03
2026-09-10 15:29,RELIGARE,258.78,256.92
2026-09-10 15:29,SHADOWFAX,255.1,252.71
2026-09-10 15:29,BECTORFOOD,245.44,244.02
2026-09-10 15:29,DCBBANK,227.13,226.93
2026-09-10 15:29,LOTUSDEV,207.88,202.03
2026-09-10 15:29,EMIL,191.82,190.64
2026-09-10 15:29,FEDFINA,158.88,158.65
2026-09-10 15:29,CANHLIFE,152.36,151.23
2026-09-10 15:29,TFCILTD,143.17,142.34
2026-09-10 15:29,EDELWEISS,136.74,136.48
2026-09-10 15:29,PAISALO,83.05,82.04
2026-09-10 15:29,UJJIVANSFB,66.52,65.97
2026-09-10 15:29,SOUTHBANK,46.08,46.03
2026-09-10 15:29,KWIL,41.53,41.43
