Date,Symbol,Ltp,Vwap
2026-09-10 15:29,BOSCHLTD,48775,48752.96
2026-09-10 15:29,SOLARINDS,22370,22366.24
2026-09-10 15:29,APARINDS,17342,17320.31
2026-09-10 15:29,CRAFTSMAN,11851,11698.62
2026-09-10 15:29,BAJAJ-AUTO,11768,11721.97
2026-09-10 15:29,OFSS,11725,11703.83
2026-09-10 15:29,NAVINFLUOR,8700.5,8690.6
2026-09-10 15:29,PERSISTENT,5509.5,5499.96
2026-09-10 15:29,TITAN,5021,5005.41
2026-09-10 15:29,NETWEB,5013.5,5001.38
2026-09-10 15:29,RADICO,4460,4437.67
2026-09-10 15:29,SANSERA,4107.8999,4095.76
2026-09-10 15:29,SIEMENS,3954.3999,3930.09
2026-09-10 15:29,CPPLUS,3829.1001,3789.88
2026-09-10 15:29,AJANTPHARM,3520,3509.6
2026-09-10 15:29,ACUTAAS,3451.3999,3415.03
2026-09-10 15:29,GRASIM,3319,3309.39
2026-09-10 15:29,ADANIENT,3077.2,3076.03
2026-09-10 15:29,WELCORP,2776.8999,2741.69
2026-09-10 15:29,ANANDRATHI,2202.5,2176.3
2026-09-10 15:29,APLAPOLLO,2194.8,2176.38
2026-09-10 15:29,LAURUSLABS,1945,1939.98
2026-09-10 15:29,LALPATHLAB,1916.7,1904.53
2026-09-10 15:29,CHOLAFIN,1859,1852.83
2026-09-10 15:29,POLICYBZR,1800,1797.77
2026-09-10 15:29,ADANIPORTS,1768,1766.36
2026-09-10 15:29,ATHERENERG,1658.3,1637.64
2026-09-10 15:29,LGEINDIA,1650,1648.35
2026-09-10 15:29,JSWSTEEL,1304,1300.07
2026-09-10 15:29,HATSUN,1194.5,1193.1
2026-09-10 15:29,NAM-INDIA,1185,1171.61
2026-09-10 15:29,PNBHOUSING,1179,1172.24
2026-09-10 15:29,ABSLAMC,1088.5,1078.75
2026-09-10 15:29,SHYAMMETL,1086.1,1083.64
2026-09-10 15:29,MOTILALOFS,1015,1014.89
2026-09-10 15:29,KALYANKJIL,615.2,614.06
2026-09-10 15:29,IIFL,607.65,607.38
2026-09-10 15:29,STARHEALTH,576.25,575.93
2026-09-10 15:29,KOTAKBANK,416.55,414.39
2026-09-10 15:29,ABCAPITAL,400,398.67
2026-09-10 15:29,ACMESOLAR,397.25,396.69
2026-09-10 15:29,REDINGTON,392,391.54
2026-09-10 15:29,FEDERALBNK,346,345.38
2026-09-10 15:29,ETERNAL,322.1,320.72
2026-09-10 15:29,LTF,311.3,309.23
2026-09-10 15:29,PETRONET,288.7,288.62
2026-09-10 15:29,CGCL,272.25,272.15
2026-09-10 15:29,MEESHO,217.91,216.96
2026-09-10 15:29,IDFCFIRSTB,86.84,86.8
