date,time,group,% change
2026-09-04,15:29,20MICRONS,-0.5098
2026-09-04,15:29,3BBLACKBIO,11.7737
2026-09-04,15:29,63MOONS,12.7259
2026-09-04,15:29,AADHARHFC,2.8064
2026-09-04,15:29,AARTIDRUGS,3.2655
2026-09-04,15:29,AARTIPHARM,2.6475
2026-09-04,15:29,AAVAS,1.431
2026-09-04,15:29,ABCAPITAL,-1.2439
2026-09-04,15:29,ABDL,-0.611
2026-09-04,15:29,ABLBL,0.0349
2026-09-04,15:29,ABREL,-1.3431
2026-09-04,15:29,ABSLAMC,2.7867
2026-09-04,15:29,ACCELYA,-0.0707
2026-09-04,15:29,ACI,2.919
2026-09-04,15:29,ACMESOLAR,5.5689
2026-09-04,15:29,ADANIGREEN,-0.1458
2026-09-04,15:29,ADANIPORTS,0.9341
2026-09-04,15:29,ADANIPOWER,0
2026-09-04,15:29,ADOR,9.3521
2026-09-04,15:29,ADVAIT,0.1676
2026-09-04,15:29,ADVENZYMES,-1.3459
2026-09-04,15:29,AEGISVOPAK,7.704
2026-09-04,15:29,AEROENTER,-1.274
2026-09-04,15:29,AEROFLEX,0.2051
2026-09-04,15:29,AFCONS,2.7188
2026-09-04,15:29,AFSL,0.5323
2026-09-04,15:29,AGARWALEYE,3.119
2026-09-04,15:29,AGI,-1.2424
2026-09-04,15:29,AGIIL,-1.4588
2026-09-04,15:29,AHLWEST,1.871
2026-09-04,15:29,AIAENG,-0.1015
2026-09-04,15:29,AJAXENGG,0.1634
2026-09-04,15:29,AJMERA,-0.0848
2026-09-04,15:29,AKCAPIT,1.1237
2026-09-04,15:29,AKUMS,-0.0457
2026-09-04,15:29,ALEMBICLTD,12.8774
2026-09-04,15:29,ALGOQUANT,-0.7387
2026-09-04,15:29,ALICON,-1.0771
2026-09-04,15:29,ALIVUS,0.4042
2026-09-04,15:29,ALLDIGI,-1.147
2026-09-04,15:29,ALLTIME,-0.0485
2026-09-04,15:29,AMANTA,1.5704
2026-09-04,15:29,AMBER,0.1072
2026-09-04,15:29,AMBIKCO,-0.0061
2026-09-04,15:29,ANANDRATHI,1.6748
2026-09-04,15:29,ANANTRAJ,3.15
2026-09-04,15:29,ANDHRAPAP,6.5994
2026-09-04,15:29,ANDHRSUGAR,0.4949
2026-09-04,15:29,ANGELONE,0.3179
2026-09-04,15:29,ANTELOPUS,20.8446
2026-09-04,15:29,ANTHEM,1.1917
2026-09-04,15:29,ANUHPHR,2.6322
2026-09-04,15:29,ANUP,-0.0224
2026-09-04,15:29,APARINDS,2.0981
2026-09-04,15:29,APCOTEXIND,3.9673
2026-09-04,15:29,APLAPOLLO,4.2149
2026-09-04,15:29,APOLLO,0.232
2026-09-04,15:29,APOLLOHOSP,-1.3289
2026-09-04,15:29,APTUS,0.1354
2026-09-04,15:29,ARDEE,-0.4649
2026-09-04,15:29,ARFIN,3.5981
2026-09-04,15:29,ARIES,-0.7147
2026-09-04,15:29,ARIHANTCAP,-0.2753
2026-09-04,15:29,ARMANFIN,4.6264
2026-09-04,15:29,ARROWGREEN,17.4663
2026-09-04,15:29,ARTEMISMED,2.8748
2026-09-04,15:29,ARVIND,2.0297
2026-09-04,15:29,ARVINDFASN,0.6764
2026-09-04,15:29,ASAHIINDIA,0.4994
2026-09-04,15:29,ASHOKA,1.2975
2026-09-04,15:29,ASIANENE,8.1287
2026-09-04,15:29,ASIANHOTNR,25.4483
2026-09-04,15:29,ASIANTILES,7.577
2026-09-04,15:29,ASKAUTOLTD,0.2998
2026-09-04,15:29,ASTERDM,3.1033
2026-09-04,15:29,ASTRAMICRO,1.7837
2026-09-04,15:29,ATHERENERG,5.9815
2026-09-04,15:29,ATLANTAELE,9.0777
2026-09-04,15:29,AURIONPRO,-1.5699
2026-09-04,15:29,AUROPHARMA,1.8546
2026-09-04,15:29,AVADHSUGAR,-0.5162
2026-09-04,15:29,AVALON,-1.3385
2026-09-04,15:29,AVANTEL,-1.2616
2026-09-04,15:29,AVL,2.4676
2026-09-04,15:29,AVTNPL,4.6809
2026-09-04,15:29,AXISBANK,1.4343
2026-09-04,15:29,AXISCADES,6.5289
2026-09-04,15:29,AYE,4.6193
2026-09-04,15:29,AYMSYNTEX,21.867
2026-09-04,15:29,BAFNAPH,5.4348
2026-09-04,15:29,BAJAJ-AUTO,1.6633
2026-09-04,15:29,BAJAJCON,11.6613
2026-09-04,15:29,BAJAJHCARE,-1.5316
2026-09-04,15:29,BAJAJHFL,-1.1776
2026-09-04,15:29,BAJAJHIND,0.3673
2026-09-04,15:29,BAJAJST,2.4704
2026-09-04,15:29,BALAMINES,3.6107
2026-09-04,15:29,BALMLAWRIE,0.713
2026-09-04,15:29,BALRAMCHIN,2.4097
2026-09-04,15:29,BANARISUG,-1.1591
2026-09-04,15:29,BANCOINDIA,-0.6928
