Date,Abv 10ma,Abv 20ma,Abv 50ma,Abv 200ma
2026-09-11,33.4035,36.4785,42.2494,46.9671
2026-09-10,36.973,38.9966,43.887,47.4705
2026-09-09,39.6632,40.4211,45.6,47.9579
2026-09-08,43.2478,43.4161,45.8561,48.7169
2026-09-07,42.5809,42.9172,46.7423,48.76
2026-09-04,46.1636,44.2243,47.9764,48.8617
2026-09-03,42.8511,42.5137,46.2252,48.1653
2026-09-02,33.6993,36.6976,43.3277,47.2551
2026-09-01,35.9494,39.2827,44.6414,48.481
2026-08-31,41.2832,43.7737,47.6572,49.0924
2026-08-28,46.2775,46.5736,49.6193,50.6345
2026-08-27,41.8536,44.0965,47.609,49.9365
2026-08-26,47.6975,47.5708,50.6548,50.8238
2026-08-25,44.2234,44.562,48.4977,49.9788
2026-08-24,44.0642,45.1204,48.627,49.9366
2026-08-21,45.6088,45.4815,49.3848,49.4697
2026-08-20,42.5541,43.5299,48.6636,48.9605
2026-08-19,36.6102,39.8729,45.8051,48.0085
2026-08-18,39.0678,41.9915,47.4576,49.0254
2026-08-17,40.449,42.5667,47.3952,48.7505
2026-08-14,41.1465,44.4586,49.2144,49.3843
2026-08-13,44.7368,46.944,51.2309,50.0849
2026-08-12,43.5799,46.5561,51.318,49.915
2026-08-11,48.2788,49.6813,53.2512,51.4237
2026-08-10,51.3582,52.3769,55.6876,51.8676
2026-08-07,55.2766,55.0638,55.5745,52.2979
2026-08-06,58.6457,57.4957,57.1124,51.9165
2026-08-05,62.1702,58.4255,58.0426,52
2026-08-04,60.588,55.1768,54.5803,51.47
2026-08-03,63.1109,56.3536,55.2911,51.2537
2026-07-31,44.9189,42.4851,47.9505,47.9932
2026-07-30,36.3093,37.3345,45.2371,47.0739
2026-07-29,43.3946,41.8982,48.9953,48.0547
2026-07-28,35.4853,36.0838,45.233,46.0026
2026-07-27,42.8815,43.1373,49.4885,47.3146
2026-07-24,30.1838,33.1338,45.1903,46.4729
2026-07-23,28.1063,33.0763,44.473,45.8869
2026-07-22,32.5631,38.297,48.1386,46.9405
2026-07-21,43.3276,46.5355,52.9512,49.6578
2026-07-20,41.1111,45.0855,53.2479,49.1453
2026-07-17,36.0017,42.3373,51.4127,48.6729
2026-07-16,44.2308,47.265,54.6154,50.0427
2026-07-15,45.614,50.0214,55.6269,50.4065
2026-07-14,42.3555,47.4518,54.0471,49.9358
2026-07-13,56.0768,55.5224,59.2751,51.258
2026-07-10,53.3648,53.7934,58.5941,50.0214
2026-07-09,39.9743,43.9589,52.0994,47.6864
2026-07-08,24.1098,33.4191,45.4311,45.3024
2026-07-07,45.8798,50.9013,57.9828,49.9571
2026-07-06,53.9479,57.2343,61.6304,51.4298
2026-07-03,59.1163,60.2317,63.4921,52.0378
2026-07-02,59.5535,60.9704,62.3873,51.052
2026-07-01,50.1718,54.4674,58.0326,48.9261
2026-06-30,46.1008,51.5295,55.8811,47.9966
2026-06-29,38.9293,46.167,54.6039,47.1949
2026-06-25,45.9716,54.33,59.9741,48.7721
2026-06-24,59.8276,62.5,63.2759,50.7328
2026-06-23,59.0772,63.26,63.3894,49.461
2026-06-22,73.2762,71.6916,68.6938,51.8201
2026-06-19,69.8105,67.9587,65.8053,48.708
2026-06-18,73.0835,69.7244,65.6331,47.7175
2026-06-17,71.8966,66.9828,63.8362,46.8534
2026-06-16,72.9974,65.8053,61.9294,45.6503
2026-06-15,73.3476,63.133,58.927,44.7639
2026-06-12,52.9996,46.7846,49.2879,41.8213
2026-06-11,23.4659,28.2627,38.2022,36.6897
2026-06-10,30.7858,34.5423,42.6598,39.2055
2026-06-09,42.5918,42.419,49.0281,41.3823
2026-06-08,27.4763,32.8596,41.6882,38.4582
2026-06-05,42.9495,44.9332,51.0565,41.7421
2026-06-04,43.4539,44.7459,50.0861,41.3437
2026-06-03,39.1379,42.3276,49.8276,40.3879
2026-06-02,40.8269,43.5831,51.4212,41.3867
2026-06-01,34.3226,39.6559,48.7742,39.6559
2026-05-29,44.454,48.4678,55.9776,41.9076
2026-05-27,57.7039,57.1429,61.5451,44.3677
2026-05-26,57.0997,56.4091,60.423,43.634
2026-05-25,58.3584,56.3386,60.1203,43.1887
2026-05-22,43.8202,46.4131,54.1919,40.1901
2026-05-21,42.4373,45.376,54.019,39.758
2026-05-20,34.2549,40.7343,50.9287,38.0994
2026-05-19,30.4968,38.3585,50.6695,37.4514
2026-05-18,21.1183,30.1505,45.5914,34.6667
2026-05-15,28.4233,40.6911,55.8531,38.4017
2026-05-14,32.1105,45.6193,57.8766,39.7928
2026-05-13,30.726,45.1167,58.8591,39.6716
2026-05-12,23.6489,40.5102,57.112,37.8297
2026-05-11,51.6753,68.5137,73.8832,46.9072
2026-05-08,74.0613,82.4342,81.83,50.7553
2026-05-07,80.8989,85.9983,83.8375,50.4322
2026-05-06,75.6266,83.2757,80.726,46.8885
2026-05-05,60.0259,74.6327,73.9412,43.8202
2026-05-04,64.6022,77.2473,75.6559,42.8387
2026-04-30,56.7965,75.6277,72.8571,40.6061
2026-04-29,67.1138,80.1817,76.4171,41.2376
2026-04-28,70.2118,81.5391,76.3943,41.0722
2026-04-27,76.6681,85.3638,77.9595,40.8093
2026-04-24,58.9,77.696,70.5933,36.466
2026-04-23,79.628,87.1107,78.936,40.2249
2026-04-22,86.9377,89.6626,81.2284,40.8737
2026-04-21,86.2889,89.1003,78.6332,37.0675
2026-04-20,91.0474,92.8827,79.6329,36.4816
2026-04-17,96.1104,95.5224,84.3057,37.8562
2026-04-16,95.0701,93.8037,80.2804,34.4188
2026-04-15,95.9765,93.7613,76.1302,32.3237
2026-04-13,90.5983,86.2798,59.919,27.1705
2026-04-10,95.1153,90.095,63.6816,26.4134
2026-04-09,91.7833,84.3792,49.6163,23.2054
2026-04-08,94.2186,86.2692,48.9612,22.8094
2026-04-07,76.298,54.7178,26.5914,17.1558
2026-04-06,74.6175,46.8047,22.3672,16.7867
2026-04-02,57.6593,31.6765,17.6231,15.0023
2026-04-01,44.6809,23.0421,15.301,15.0294
2026-03-30,10.1488,9.4272,9.6978,12.2688
2026-03-27,16.8707,13.5147,11.4286,13.6961
